25.14,5.59,22.99,-3.19
25.14,5.59,22.98,-3.2
25.15,5.6,22.97,-3.21
25.15,5.6,22.95,-3.21
25.15,5.61,22.94,-3.22
25.15,5.61,22.93,-3.23
25.15,5.62,22.91,-3.23
25.15,5.62,22.9,-3.24
25.16,5.63,22.88,-3.26
25.16,5.63,22.87,-3.27
25.16,5.63,22.86,-3.28
25.16,5.64,22.85,-3.29
25.16,5.64,22.84,-3.29
25.16,5.64,22.83,-3.29
25.16,5.63,22.82,-3.3
25.16,5.62,22.82,-3.3
25.16,5.61,22.81,-3.31
25.16,5.6,22.8,-3.31
25.16,5.58,22.8,-3.32
25.16,5.56,22.79,-3.32
25.16,5.55,22.79,-3.32
25.14,5.53,22.79,-3.31
25.15,5.52,22.79,-3.31
25.15,5.5,22.78,-3.31
25.15,5.48,22.78,-3.31
25.15,5.47,22.77,-3.32
25.15,5.47,22.76,-3.33
25.15,5.47,22.75,-3.34
25.15,5.47,22.73,-3.35
25.15,5.48,22.72,-3.36
25.15,5.49,22.71,-3.37
25.15,5.5,22.7,-3.39
25.15,5.52,22.69,-3.4
25.15,5.53,22.69,-3.41
25.14,5.55,22.68,-3.41
25.14,5.56,22.67,-3.42
25.14,5.57,22.66,-3.43
25.14,5.57,22.62,-3.45
25.14,5.58,22.57,-3.47
25.14,5.58,22.56,-3.48
25.14,5.59,22.57,-3.51
25.14,5.59,22.57,-3.54
25.14,5.6,22.58,-3.58
25.14,5.6,22.59,-3.62
25.15,5.61,22.61,-3.65
25.15,5.61,22.63,-3.69
25.15,5.61,22.66,-3.71
25.16,5.61,22.7,-3.74
25.16,5.6,22.75,-3.77
25.15,5.6,22.8,-3.79
25.15,5.6,22.87,-3.81
25.15,5.59,22.94,-3.84
25.15,5.59,23.02,-3.86
25.15,5.59,23.11,-3.88
25.14,5.59,23.21,-3.91
25.14,5.58,23.31,-3.94
25.14,5.58,23.41,-3.97
25.14,5.57,23.52,-4
25.13,5.56,23.64,-4.03
25.13,5.56,23.75,-4.05
25.12,5.55,23.87,-4.08
25.12,5.53,23.98,-4.1
25.11,5.51,24.09,-4.12
25.1,5.5,24.22,-4.14
25.1,5.49,24.34,-4.16
25.09,5.47,24.46,-4.18
25.09,5.46,24.58,-4.21
25.08,5.44,24.7,-4.24
25.07,5.43,24.83,-4.27
25.07,5.41,24.97,-4.31
25.06,5.39,25.11,-4.35
25.04,5.38,25.26,-4.38
25.03,5.37,25.41,-4.4
25.02,5.35,25.56,-4.42
25.01,5.33,25.71,-4.42
25,5.31,25.85,-4.42
24.99,5.3,25.99,-4.43
24.99,5.28,26.11,-4.45
24.98,5.27,26.17,-4.51
24.97,5.26,26.31,-4.54
24.97,5.25,26.45,-4.57
24.97,5.25,26.59,-4.6
24.97,5.23,26.74,-4.64
24.97,5.23,26.88,-4.68
24.97,5.22,27.02,-4.73
24.97,5.22,27.16,-4.79
24.96,5.22,27.24,-4.88
24.96,5.22,27.36,-4.94
24.96,5.23,27.49,-5
24.96,5.24,27.61,-5.06
24.96,5.25,27.75,-5.11
24.96,5.26,27.89,-5.16
24.97,5.29,28.05,-5.21
24.95,5.32,28.18,-5.23
24.89,5.34,28.32,-5.25
24.82,5.37,28.45,-5.26
24.76,5.37,28.59,-5.25
24.74,5.36,28.75,-5.22
24.73,5.34,28.88,-5.23
24.74,5.32,29.02,-5.17
24.77,5.29,29.2,-5.12
24.81,5.25,29.37,-5.01
24.85,5.21,29.48,-4.92
24.9,5.16,29.58,-4.82
24.97,5.13,29.64,-4.74
25.04,5.1,29.7,-4.67
25.1,5.08,29.74,-4.63
25.18,5.06,29.86,-4.5
25.25,5.04,29.91,-4.43
25.33,5.03,29.86,-4.43
25.42,5.02,29.83,-4.42
25.51,5.01,29.78,-4.41
25.61,4.99,29.73,-4.39
25.7,4.95,29.68,-4.36
25.8,4.92,29.63,-4.32
25.89,4.86,29.59,-4.26
25.99,4.8,29.48,-4.24
26.08,4.72,29.4,-4.2
26.18,4.61,29.39,-4.11
26.27,4.48,29.39,-4.01
26.38,4.33,29.39,-3.91
26.48,4.17,29.38,-3.82
26.59,3.99,29.38,-3.72
26.69,3.79,29.37,-3.64
26.79,3.59,29.36,-3.56
26.89,3.37,29.34,-3.48
26.99,3.13,29.32,-3.42
27.09,2.87,29.3,-3.38
27.18,2.6,29.28,-3.35
27.28,2.32,29.26,-3.33
27.37,2.02,29.22,-3.33
27.46,1.71,29.18,-3.33
27.55,1.38,29.12,-3.35
27.64,1.04,29.07,-3.37
27.72,0.65,29,-3.42
27.79,0.23,28.91,-3.48
27.87,-0.2,28.79,-3.57
27.95,-0.65,28.67,-3.69
28.03,-1.12,28.53,-3.83
28.1,-1.61,28.37,-3.99
28.18,-2.12,28.19,-4.18
28.25,-2.65,27.97,-4.4
28.33,-3.2,27.7,-4.65
28.41,-3.79,27.68,-4.69
28.5,-4.4,27.33,-5.02
28.59,-5.05,26.93,-5.39
28.68,-5.69,26.49,-5.76
28.75,-6.19,26.02,-6.18
28.82,-6.61,25.53,-6.65
